id,parent_id,name
61821,61802,Formulare exportieren
61835,61802,Verknüpfen Sie Aktionspunkte und Dokumente mit Formularen
61799,61804,Dokumente verwalten
61811,61804,Laden Sie Dokumente hoch
61812,61804,Dokumente herunterladen
61814,61805,Allgemeine Einstellungen
61813,61805,Formulare - Unternehmensebene
61822,61805,Zeichnungen - Projektebene
61823,61805,Konten und Rechte - Projektebene
61825,61805,Benachrichtigungen - Projektebene
61832,61805,Lokation - Projektebene
61836,61805,Genehmigungen - Geschäftsniveau
61837,61805,Checklisten und Zeitpläne - Business Level
61838,61805,Liste der Standardaktionspunkte - Unternehmensebene
61839,61805,Konten und Rechte - Firmensebene
61815,61806,Baustelle arbeiten
61808,61806,Sicherheit
61834,61806,Qualität
61824,61819,Statistik
61826,61819,Benutzerdefinierter PDF-Bericht
61827,61819,Standard PDF-Bericht
61796,61820,Problemlösungen für Administratoren
61797,61820,Lokation
61828,61820,Allgemein
61830,61820,Bereit für den mobilen Einsatz
61833,61820,Problemlösungen für den mobilen Einsatz
84318,62886,Release Notes
62887,62886,2FA
62889,62886,Document repository (Upgrade)
70692,62886,Others
69442,69441,雙重身份驗證 (2FA)
69443,69441,文件存儲庫（升級）
70691,69441,其他
90581,71626,Links
71627,71626,API Doc
71628,71626,Publish
112272,112239,Staff
112271,112239,Owner
112276,112239,SnagR Home Admin
112275,112271,Appointment
112273,112272,Appointment
112277,112276,Appointment
53663,,Getting Started
112239,,SnagR Home
36879,,Set up project
53664,,Issues
37828,,Success stories
71626,,Power BI Integration
48719,,FAQ
62886,,New Features
36878,,Forms
37827,,Documents
46766,,Reporting
56448,,AAHK-TRD
59206,,AAHK-CWD
61819,,Berichterstattung
61802,,Formulare
61798,, Fangen Sie an
61820,,Häufig gestellte Fragen
61804,,Dokumente
61800,,Aktionspunkte
61805,,Projekt einrichten
61806,, Erfolgsgeschichten
52751,,FAQ
52727,,Casi studio
52730,,Repositorio Documenti
52736,,Reportistica
52755,,Difetti 
52756,,Ispezioni
52757,,Impostazione Progetti
52968,,Per cominciare
42191,,Succes Verhalen
52453,,Verslaglegging
52454,,Veelgestelde vragen
42186,,Ga van start
42187,,Actiepunten
42188,,Formulieren
42189,,Documenten
42190,,Project opzetten
60164,,Nieuwe functionaliteiten
39872,,表格模式
39873,,文件管理
39875,,管理员模式
39878,,成功经验
39869,,入门指南
39870,,缺陷模式
39864,,成功經驗
36924,,缺陷模式
39860,,表格/檢查模式
39862,,項目文件存儲庫
69441,,新功能 🆙 
39863,,項目設置
36923,,入門指南
58503,,常見問題
58596,,報告
